Page,Family,EnglishCommon,LatinSpecies,Length,Voice,Notes
160,"Squatter, Partridge, and Rock-Pigeons",Squatter Pigeon,Geophaps scripta,26-30cm,"low, deep murmuring, seeming to come from deep within, muffled or throaty; yet rather musical; sequence is often varied -- fast, slow, slow or slow, fast, fast -- ""coo-coo, coore, coore, coo-coo, cooor"". Also higher, uplifting ""coo-hooop!""",
160,"Squatter, Partridge, and Rock-Pigeons",Partridge Pigeon,Geophaps smithii,25-28cm,"similar to calls of Squatter, but slightly more husky and querulous; slow, varying in strength -- some strong, some softly fading and very low, often just single notes or a series of notes more widely paced, ""khwoor, khwuoor, kwoo-kwoo-kwooor, khwuoor""; higher clearer ""oo-poo-poor"" in alarm.",
160,"Squatter, Partridge, and Rock-Pigeons",White-quilled Rock-Pigeon,Petrophassa albipennis,28-30cm,"starts with rough, low, grating ""grr-""; rises to an abrupt, high, sharp ""-ook""; repeated at regular intervals, ""grr-oook, grr-oook"". Also has a softer, more husky or throaty ""coo, car-ook"".",
160,"Squatter, Partridge, and Rock-Pigeons",Chestnut-quilled Rock-Pigeon,Petrophassa rufipennis,29-32cm,"a loud, musical, rapid ""cook-ar-ook"" like the Aboriginal name, Kukarook. The display call is a low, grinding, grating ""owrrgh-owrrgh-owrrgh"", uttered at the bottom of each bow.",
162,"Fruit-Doves, Emerald Dove, Brown Cuckoo-Dove",Wompoo Fruit-Dove,Ptilinopus magnificus,38-48cm,"the advertising call is very loud, audible up to 1 km away. Repeated lengthily, but hard to detrmine its direction. This call is powerful, deep, reverberating, much as in the name ""wom-poo"", but the first part like the deep, inward ""plonk"" of a rock dropped in deep water: ""g'lonk-ooo"", ""g'lonk-ooo"" or ""wolloka-ooo"".",
162,"Fruit-Doves, Emerald Dove, Brown Cuckoo-Dove",Superb Fruit-Dove,Ptilinopus superbus,22-24cm,"a series of mellow, musical calls, beginning softly, slowly, rising in pitch and volume until a loud and clear ""whoop, whoop, whoop""; also low ""oom"", in steady sequence.",
162,"Fruit-Doves, Emerald Dove, Brown Cuckoo-Dove",Rose-crowned Fruit-Dove,Ptilinopus regina,22-24cm,"noisy, loud calls given in long series: ""whup-whooo, whp-whooo, whp-whooo""; the first part low and abrupt, followed by a drawn out ""whooo"". Also as ""whu-whoo, whu-whoo-whuk-whukwuk…"", becoming faster and fading away.",
162,"Fruit-Doves, Emerald Dove, Brown Cuckoo-Dove",Emerald Dove,Chalcophaps indica,23-27cm,"as advertising call gives a series that begins with an extremely low purring-moaning that gradually, with each call, rises higher: ""p-ur-r-r-oom, p-r-r-ooom, p-rrooom, p-rooom, prooom"".",
162,"Fruit-Doves, Emerald Dove, Brown Cuckoo-Dove",Brown Cuckoo-Dove,Macropygia amboinensis,40-45cm,"a loud and almost ringing call, which at a distance sounds like a single, clear, rising ""waaalk""; starts low, rises in pitch and volume; changes from soft, low and slightly husky to loud, clear and penetrating: a sound that seems to resonate through the forest. Close at hand, two soft, quiet, low preceding notes may be heard, like ""cook-coo"" but more abrupt, giving the complete call as ""kuk-k-wawrk"" or ""cuk-c-waaalk"" -- the whole about one full second from low, softly stuttered beginning to loud, clear, ringing end. A call given in display is similar, but more harsh and gruff.",
164,"Wonga and Feral Pigeons, Doves",Wonga Pigeon,Leucosarcia melanoleuca,35-40cm,"long series -- quite high, rapid, very penetrating ""whoik-whoik-whoik-whoik-"" -- repeatedly lengthily at constant pitch becoming monotonous.",
164,"Wonga and Feral Pigeons, Doves",Feral Pigeon,Columba livia,33-35cm,cooing.,
164,"Wonga and Feral Pigeons, Doves",Peaceful Dove,Geopelia placida (striata),20-24cm,"a pleasant, musical, lilting, loud and clear ""coo-wiook, coo-wiook, coo-iook, cooiook`'; also a throaty but musical ""quo-r-r-r-r"".",
164,"Wonga and Feral Pigeons, Doves",Diamond Dove,Geoplia cuneata,20-24cm,"two versions given, each of four notes, all of clear, pleasant, musical character with slight but distinctive reverberation. One call has the four notes alternating low-high, low-high ""coor-cooo, coor-cooo""; alternatively the four notes are quite level in pitch, ""coo-cooo, coo-cooo""; also gives a drawn out ""quorrr"".",
164,"Wonga and Feral Pigeons, Doves",Bar-shouldered Dove,Geopelia humeralis,27-30cm,"a double-noted, cheery ""cookaw-cookor"", ""cookaw-cookor""; first part is higher, stronger and clearer, the second slightly lower, fading. Also, long bubbling, laughing, descending ""cook-aw-cookawcookawcookaw-"".",
164,"Wonga and Feral Pigeons, Doves",Spotted Turtle-Dove,Streptopelia chinensis,30-32cm,"a high, triple-noted, musical cooing, ""cook-oo-ook"", ""coo-coo-crooo"" with other variations.",
164,"Wonga and Feral Pigeons, Doves",Laughing Turtle-Dove,Streptopelia senegalensis,25-26cm,"laughing, undulating or bubbling mellow sequence like ""did-you-see-a-cuckooo"", the last word loudest, clearest: ""quook-kuk-a-kuk-KUKooo"".",Warblish with transliteration
166,"Palm Cockatoo, Black-Cockatoos",Palm Cockatoo,Probisciger aterrimus,55-65cm,"call of two notes; low then rising through a rasping beginning to a sharp, abrupt screech: ""aar-rraiik!""",
166,"Palm Cockatoo, Black-Cockatoos",Red-tailed Black-Cockatoo,Calyptorhynchus banksii,50-65cm,"contact call, usually in flight, a grating, metallic ""karaak"", karrark"" and ""airrk""; some calls hard and grating, others husky or squeaky, whistling ""kreeeeik"".",
166,"Palm Cockatoo, Black-Cockatoos",Glossy Black-Cockatoo,Calyptorhynchus lathami,46-50cm,"weaker, higher and more wheezy than that of the Red-tailed. Varied, comparatively soft, wheezing ad grating ""kee-aiirrk"", airr-riiek"", ""airrk"", ""airrek"",""arr-errk"".",
166,"Palm Cockatoo, Black-Cockatoos",Yellow-tailed Black-Cockatoo,Calyptorhynchus funereus,58-65cm,"far-carrying ""why-eeela, weee-la""; in alarm, harsh screeches. Grinding noises when feeding.",
166,"Palm Cockatoo, Black-Cockatoos",Short-billed (Carnaby's) Black-Cockatoo,Calyptorhynchus latirostris,55-60cm,"loud, querulous, high, drawn out, wailing, wheezy, complaining ""aa-ieeer-la"" or ""wy-ieee-la""; the emphasis on the middle ""ieeer"".",
166,"Palm Cockatoo, Black-Cockatoos",Long-billed (Baudin's) Black-Cockatoo,Calyptorhynchus baudinii,55-60cm,"compared with above species, less of the long, drawn out, wheezy wailing; a more clear, whistled sound, rising clear and high then falling away, not harsh, ""wiee-ier"", ""whyie-ier"", or ""whyie-rrk""; deeper querulous corella-like sounds.",
168,"Gang-Gang, Corellas, Cockatiel",Gang-gang Cockatoo,Callocephalon fimbriatum,33-36cm,"as contact call an incredibly drawn out, creaky rasp, ""gr-raer-iriek!""; beginning as a rough croak, ending with a squeak like a rusty hinge. Makes soft growling sound while feeding.",
168,"Gang-Gang, Corellas, Cockatiel",Long-billed Corella,Cacatua tenuirostris,38-41cm,"the usual contact call in flight is a wavering, nasal, falsetto, triple-noted ""ar-aer-ek, ar-aer-aerk"", which, from a flock, becomes a raucous din. When disturbed makes very loud, harsh screeches. The long bill is used to dig up roots, bulbs and corms, the plumage becoming stained with red dust.",
168,"Gang-Gang, Corellas, Cockatiel",Little Corella,Cacatua sanguinea,36-39cm,"very noisy in flight and perched. Call varies in length -- a harsh, resonant, nasal, brassy ""air-er-ek"" that also varies from sharp to guttural -- ""aier-ek, aier-rr-k, aer-rk, errk, urrk, aiirk""; also loud screeches. Flocks of thousands create a crescendo of screeches and hollow croaks. In breeding season flocks are small, pairs keep closer to their nest sites.",
168,"Gang-Gang, Corellas, Cockatiel",Western Corella,Cacatua pastinator,36-39cm,like that of Little Corella.,
168,"Gang-Gang, Corellas, Cockatiel",Cockatiel,Nymphicus hollandicus,31-33cm,"a distinctive, loud, clear, flight call, a slightly husky, mellow, rolling yet sharply penetrating ""whee-it, wheeit"" or ""querr-eel"", which gives the name ""Quarrion"".",
170,"Cockatoos, Electus and Red-cheeked Parrots",Sulphur-crested Cockatoo,Cacatua galerita,45-50cm,"loud, raucous, unpleasant screeches, usually an intermix of harsh and sharp sounds, varying from deep, grinding and guttural to powerful, piercing screeches of ""ear-splitting"" intensity: ""airrrik, aarrrk, ahrk, aieirrk, aieirieik!"".",
170,"Cockatoos, Electus and Red-cheeked Parrots",Major Mitchell's Cockatoo,Cacatua leadbeateri,35-40cm,"contact call, given frequently while in flight, is a thin, querulous, drawn out, wavering screech, the sound stuttering or undulating, hoarse and scratchy, ""ar-ai-ar-a-ar-iagh, ai-ra-a-iagh"". In alarm, several loud, harsh, abrupt screeches.",
170,"Cockatoos, Electus and Red-cheeked Parrots",Galah,Cacatua roseicapilla,35-38cm,"rather harsh, metallic and abrupt, yet not unpleasant, ""chirrink-chirrink, chirrink-chirrink"" and variations: ""chzink-chzink"", ""czink-czink-czink-czink""; in alarm, harsh, scolding, rasping screeches. Feeds on ground or low shrubs in small parties or flocks.",
170,"Cockatoos, Electus and Red-cheeked Parrots",Eclectus Parrot,Eclectus roratus,40-43cm,"a frequently repeated harsh screech with the recurrent 'r' strongly 'rolled' to give heavily vibrating throaty roughness, ""arrrk-arrrk-arrrk"" and ""airrk"".",r is for rough
170,"Cockatoos, Electus and Red-cheeked Parrots",Red-cheeked Parrot,Geoffroyus geoffroyi,21-24cm,"loud, metallic, piercing ""airk, airk, airk"" and long rapid series at even pitch and strength: ""hak-haik-haik-haik…""; all piercing, ringing notes.",
172,"Lorikeets, Red Underwings",Rainbow Lorikeet,Trichoglossus haematodus,26-31cm,"in flight gives frequent, quite pleasant, softly rasping or vibrating musical screeches; softer mellow chattering and subdued screeches while feeding; quiet twittering while resting.",
172,"Lorikeets, Red Underwings",Scaly-breasted Lorikeet,Trichoglossus chlorolepidotus,22-24cm,"sharp, short, clear screeches, something like the Rainbow Lorikeet, but usually sharper. A ""chewip"", often in flight, is varied from extremely high and sharp to mid range and rather mellow, or slightly rasping. Also gives scolding ""charr!"" and soft chattering while perched.",
172,"Lorikeets, Red Underwings",Purple-crowned Lorikeet,Glossopsitta porphyrocephala,15-16cm,"calls almost continuously in flight with a high, slightly metallic or vibrating ""tziet, tziet"", less sharply screeched than the Little Lorikeet. When feeding in treetops, soft chattering mixes with louder flight calls.",
174,"Small Lorikeets, Fig-Parrot",Varied Lorikeet,Psitteuteles versicolor,18-20cm,"contact call, constant while in flight, is a thin, shrill, metallic screech, noticeably higher pitched but not as loud as the calls of the Rainbow Lorikeet. While feeding, chatters busily -- varid, quick, sharp little screeches, intermingling with softer scoldings, some quietly low and slightly rasping, others soft or highr, all abrupt.",
174,"Small Lorikeets, Fig-Parrot",Musk Lorikeet,Glossopsitta concinna,21-23cm,"in flight a shrill metallic screech in contact; feeds in treetops with much soft chattering, the varied notes intermingling, sharp, husky and querulous.",
174,"Small Lorikeets, Fig-Parrot",Little Lorikeet,Glossopsitta pusilla,15-16cm,"sharp, short screeches, slightly undulating or warbling, ""zrrit, zrit"" or ""chirrit, chrrit"". While feeding, almost constant, pleasant, subdued, chatter-like screeches, sharp or mellow, with intermingled brief, harsh scoldings.",
174,"Small Lorikeets, Fig-Parrot",Doube-eyed Fig Parrot,Cyclopsitta diophthalma,13-15cm,"contact call is a sharp, penetrating ""tseit-tseit-tseit-"", usually in flight and on landing; alarm call is a shrill screech.",
176,Long-tailed Parrots,Australian King-Parrot,Alisterus scapularis,42-44cm,"in flight gives abrupt, sharp, clear ""krassiek"", ""k-wiek"", ""chriek"" or ""charrak"" with slight variations; or rapid ""chrak-chrak-chrak-"". Alarm call is a harsh, metallic, screeched ""karrark!"". Males give a sequence of high sharp whistles, ""chreip, peeip, peip"", while perched.",
176,Long-tailed Parrots,Red-winged Parrot,Aprosmictus erythropterus,31-32cm,"flight call a sharp, metallic ""chrrik-chrrik, chrrik-chrrik"" or ""crillik, crillik""; in distance sounds like a Budgerigar chattering. Alarm call is a series of harsher, more abrupt screeches, ""chak-chak-chak chrak-k-kak"".",
176,Long-tailed Parrots,Princess Parrot,Polytelis alexandrae,35-45cm,"rather quiet, ocasionally a rather loud, unmusical ""kee-ahrk-carruk"".",
176,Long-tailed Parrots,Superb Parrot,Polytelis swainsonii,37-42cm,"varied calls; commonly a strong, penetrating, rather rough yet musical ""querr-ieek, querrieek"" with final ""ieek"" loud and sharp; or ""krak-karrark"". Other calls include a sharp penetrating, whistled ""whiek, whiek, whiek"" at regular intervals, and harsh, deep, rough scolding, ""qurrarrk"".",
176,Long-tailed Parrots,Regent Parrot,Polytelis anthopeplus,38-40cm,"distinctive, mellow, rolling, deep-in-the-throat ""quarrak-quarrak-quarrark""; scoldings and chattering.",
178,Blue-cheeked Rosellas,Green Rosella,Platycercus caledonicus,32-38cm,"a very high, ringing call; three piercing whistles, the second note the highest, ""whee-whieit-whee"". Another common call is a harsh, sharp, metallic ""k-ziek, kziek-kziek; kziek, kziek"", the last ""-iek"" a brief piercing squeak, with erratic breaks, some but a fraction of a second, others several seconds. From pairs, parties or flocks, typical rosella chattering, but more harsh, squeaky, than is usual for rosellas.",
178,Blue-cheeked Rosellas,Crimson Rosella,Platycercus elegans elegans,32-37cm,"a clear, ringing ""k-teee-tip, k-tee-tip"", the central ""teee"" loud, very hgh, penetrating, but more musical than squeaky; strong; variations include ""k-tee-it-tip"", kteeeit-tip"" and ""tip-teee"", always with the ""teee"" as the strongest part. Also has various harsh scoldings: ""chiak-chiak"", ""chak-chak"".",sub-species
178,Blue-cheeked Rosellas,Yellow Rosella,Platycercus elegans flaveolus,31-35cm,"similar to calls of Crimson, but not as high or clear; includes a ""chwit, chwit-chwit, chwit-"" and very rapid, rather budgie-like chattering.",sub-species
178,Blue-cheeked Rosellas,Adelaide Rosella,Platycercus elegans adelaidae,34-35cm,"pleasant and musical, clear, ringing yet abrupt ""chwik, chwik-chwik, chwik""; also, in groups, a confusion of typical rosella chatter.",sub-species
180,White and Yellow-cheeked Rosellas,Western Rosella,Platycercus icterotis,25-28cm,"varied calls, clear, musical, high-pitched, ringing ""quink-quink-quink-quink"" and slightly softer ""whip-a-wheee"".",
180,White and Yellow-cheeked Rosellas,Eastern Rosella,Platycercus eximius,29-33cm,"in flight, brisk, sharp, clear, rapid ""quink-quink, quink-quink"" and even more rapid ""whit-whit-whit-whit-"". Slower, more drawn out, is a high, clear, ringing ""pee-pt-eee""; there is also much rapid, confused chattering within groups.",
180,White and Yellow-cheeked Rosellas,Pale-headed Rosella,Platycercus adscitus,28-32cm,"in flight, abrupt ""czik-czik-, czik-czik-""; from trees, high but soft, thin, and slightly tremulous ""fee-e-fee-e-fe-e"" or ""few-we-we-wee"". Also typical confusion of typical rosella chattering by several birds.",
180,White and Yellow-cheeked Rosellas,Northern Rosella,Platycercus venustus,28-30cm,"calls high, very clear and ringing; includes an extremely rapid, high, piercing ""whit-whit-whit-whit-whit-whi-"", so rapid that the ten or twenty notes are given within two or three seconds and at an unwavering, even pitch. Quieter, more husky, melow, is an erratic ""chak, chak-chak, chakchakchak, chak"".",
