EnglishCommon,LatinSpecies,Family,Order,Length,Voice
Dovekie,Alle alle,Alcidae,Charadriiformes,21,"Dovekies are silent at sea and seldom heard by bird watchers except at their breeding colonies, where pairs give calls including a high-pitched chattering trill; a soft, low clucking; a hoarse purring; and a snarling sound. Single birds that have been alarmed give a single high  "" weep "" call or a whinnying sound. "
Downy Woodpecker,Dryobates pubescens,Picidae,Piciformes,15.5,"The Downy Woodpecker's whinnying call, made by both sexes, is a typical sound of deciduous forests during the breeding season. It's a somewhat excited string of hoarse, high-pitched notes that descend in pitch toward the end; the call lasts about 2 seconds. Excited birds also give a very sharp  "" pik "" note, occasionally repeated several times. "
Dunlin,Calidris alpina,Scolopacidae,Charadriiformes,19,"The most commonly heard call is a high-pitched, scratchy  "" krree "" , given by birds in flight or in conflict. The song, heard mostly from males on the breeding grounds, often during display flights, is a remarkable series of highly modulated (burry) trills, beginning with a short set of lower notes that each rises in pitch, then finishing with a descending trill that recalls a movie sound-effect for a spaceship landing. The song can last 3.5 seconds."
Dusky Flycatcher,Empidonax oberholseri,Tyrannidae,Passeriformes,14.1,"A dry, soft but distinct  "" whit  "" is the most commonly heard call year-round. On the breeding grounds, both sexes give a distinctive  "" du-hic "" call, the  "" du "" a mellow whistle following by a sharp, rising  "" hic "" . Seven other call types, including trills and rattles, are heard mostly on the breeding grounds. The song is short and three-parted. It begins with a rising  "" prll-it "" , followed by a husky  "" prrdrrt "" , and ends with a clear, high-pitched  "" pseet.  "" The last element of the song is clearly higher in pitch than the last element of Hammond's Flycatcher's song. The whole song lasts just over a second. Patient listening will reveal that most males frequently mix up the order of these elements."
Dusky Grouse,Dendragapus obscurus,Phasianidae,Galliformes,50.5,"Males advertise their territory with a series of very low-pitched, quiet hoots. Though these are quiet and easy to miss, they can carry for more than 100 feet. Because this vocalization is given repeatedly to mark territory and attract females, some researchers refer to it as 'song.' Males also give a growling  "" gugugug "" or more staccato  "" cak-cak-cak "" when confronting rivals or other intruders, including humans. Females give a quavering cackle or whinny to show interest to advertising males. In aggressive encounters, females give a hiss or chickenlike cluck. Females stay in contact with chicks using a quiet  "" tu "" , sometimes repeated. If separated from her brood, hens give loud, high-pitched  "" skree "" ,  "" kweer-kweer,  "" and "" kwa-kwa "" calls. "
Eared Grebe,Podiceps nigricollis,Podicipedidae,Podicipediformes,32.5,"Males and females give an advertising call that starts with a single note and ends with a hiccup. The female's advertising call is higher pitched and slightly shorter than the male's call. Both sexes also give thin trills during courtship and copulation. At colonies with multiple birds calling, the sound is similar to a frog chorus at dusk. When alarmed they give a single sharp chirp. Outside of the breeding season, they are generally quiet.  "
Eastern Bluebird,Sialia sialis,Turdidae,Passeriformes,18.5,"The Eastern Bluebird's most common call is a soft, low-pitched  "" tu-a-wee "" with a querulous tone. The call lasts a little less than a second, with males' calls typically slightly longer than females'. Bluebirds give this song in all seasons as a way of keeping in touch with each other or to signal nestlings that adults are bringing food. When bluebirds get too close to each other, they let each other know with a single, harsh screech. Females make a very soft, low chip when a courting male approaches. Birds nervous at the approach of a ground predator make a loud, continual  "" chit-chit-chit "" . Eastern Bluebirds sing a fairly low-pitched, warbling song made up of several phrases, each consisting of 1-3 short notes. Harsher chattering notes may be interspersed with the whistles. The whole song lasts about 2 seconds. Typically, unpaired males sing this song from a high perch or sometimes in flight, as they try to attract a mate. Females sometimes sing this song when they see predators on their territory. Paired males sometimes sing a much softer version of this song while females are laying eggs."
Eastern Kingbird,Tyrannus tyrannus,Tyrannidae,Passeriformes,21,"Males vocalize more than females, but both give a variety of high-pitched, short, explosive calls with an electric quality. Male Eastern Kingbirds sing a complex vocalization from perches before dawn or occasionally in the evening. This sound consists of high, sputtering notes followed by a buzzy  "" zeer "" , repeated many times, with each song lasting about 1.5 seconds."
Eastern Meadowlark,Sturnella magna,Icteridae,Passeriformes,22.5,"Eastern Meadowlarks give a single, sharp  "" dzert "" note when humans or other meadowlarks intrude on their territory. Another distinctive sound is a harsh chatter that lasts 1.5 seconds and is given by both males and females. Both sexes have a series of  "" weet "" calls that they give while in flight. The male Eastern Meadowlark's primary song consists of 3 to 5 (sometimes up to 8) pure and plaintive flutelike whistles all slurred together and gradually dropping in pitch, up to 2 seconds long. Male have a repertoire of songs, singing one song repeatedly for a time and then switching to a different version. They typically sing from an exposed perch, but occasionally sing in flight as well."
Eastern Phoebe,Sayornis phoebe,Tyrannidae,Passeriformes,15.5,"Both sexes also use a soft chip note to communicate. Males hovering at a possible nest site to show it to a female also give a nasal chattering call. Males sing a raspy, two-parted song that gives them their name:  "" fee-bee.' It lasts about half a second. They also sing a variant of this song with a stutter or two between the two syllables; this is more often heard during or after aggressive interactions."
Eastern Screech-Owl,Megascops asio,Strigidae,Strigiformes,20.5,"Among the Eastern Screech-Owl's many calls are soft, low hoots; loud, sharp barking calls that indicate alarm or agitation; and, true to their name, screeches—typically given by adults defending nests or fledglings. A three- or four-note chuckle or rattle denotes annoyance, as when a bird is being mobbed. Both males and females sing. Their most common sounds are an even-pitched trill, often called a 'bounce song' or tremolo; and a shrill, descending whinny. The tremolo is used by pairs or families to keep in touch and is 3-6 seconds long. The whinny is 0.5-2 seconds long and is used to defend territories. These two songs may be given one after the other. Mated pairs may sing to each other antiphonally, both day and night."
Eastern Towhee,Pipilo erythrophthalmus,Passerellidae,Passeriformes,19.05,"The most common call is a two-parted, rising  "" chewink "" ,  "" tow-hee "" , or  "" joree "" , made by both sexes, often as an alarm call. This call can vary in tone geographically from clear whistles to hoarse or nasal sounds. Towhees make several other calls, including a high-pitched, quiet, lisping call for staying in contact, and a sharp  "" tic "" when mobbing or fleeing predators. The classic Eastern Towhee song, given by males, is a loud  "" drink-your-tea! "" lasting about 1 second. The first note ( "" drink "" ) is sharp and metallic, and the final note ( "" tea "" ) is a musical trill. Sometimes the song will start with more than one  "" drink "" ."
Eastern Whip-poor-will,Antrostomus vociferus,Caprimulgidae,Caprimulgiformes,24,"The male's emphatic, chanted  "" whip-poor-will "" , sometimes repeated for hours on end, is a classic sound of warm summer nights in the countryside of the East. It commonly appears in regional songs and literature. A typical call accents the first and last syllable (with a tremulous middle syllable), and immediately starts in on the next call, creating a circular rhythm. Males and females both give a short, sharp  "" quirt "" to contact their mates or express agitation when a predator is near the nest. They also make growls to ward off territorial intruders and hisses to ward off predators. Although Eastern Whip-poor-wills are not technically songbirds, their  "" whip-poor-will "" call functions as a song, since males consistently repeat this call from conspicuous perches during the breeding season."
